Gene,mut.rate,dn.LoF,case.LoF,ctrl.LoF,trans.LoF,ntrans.LoF,dn.mis3,case.mis3,ctrl.mis3,trans.mis3,ntrans.mis3,BF.dn,BF,qvalue.dn,qvalue,pval.TADA
S1PR4,2.27E-05,0,0,0,0,0,0,4,13,5,3,0.771197675,0.424133114,0.930255416,0.938694428,0.717856952
MEIS2,2.29E-05,0,0,0,0,0,0,1,3,2,2,0.770066058,0.424117374,0.930368272,0.938697031,0.717894315
SACS,0.000148708,0,5,8,4,3,0,19,78,18,18,0.201450242,0.424097987,0.940548142,0.938699632,0.717912463
PKMYT1,2.23E-05,0,0,2,0,0,0,5,6,3,2,0.775391642,0.424071816,0.929883786,0.938702234,0.717969576
SCUBE3,4.66E-05,0,0,1,0,0,0,7,25,5,10,0.590828918,0.424058366,0.937816258,0.938704835,0.71798719
PACSIN1,2.28E-05,0,0,0,0,0,0,3,7,2,2,0.770414055,0.424046017,0.930335047,0.938707436,0.718020817
FARSB,2.23E-05,0,0,1,0,1,0,1,8,1,2,0.77547928,0.424008658,0.929874294,0.938710037,0.718099279
SHISA6,2.20E-05,0,0,0,0,0,0,0,0,0,0,0.777673724,0.423976934,0.929638943,0.938712638,0.718202295
FBXL5,2.31E-05,0,0,0,0,0,0,7,9,3,3,0.768068386,0.423976825,0.930518817,0.938715238,0.718203896
ELANE,2.29E-05,0,0,0,0,0,0,0,3,2,0,0.769544382,0.423967793,0.930419816,0.938717838,0.718244996
FOXN3,2.31E-05,0,0,0,0,0,0,1,11,3,5,0.767981659,0.423928016,0.930531613,0.938720437,0.718293568
ETV5,2.20E-05,0,0,2,0,0,0,2,7,3,2,0.777410034,0.423902224,0.929658207,0.938723037,0.7183336
MFSD2B,2.20E-05,0,0,2,0,0,0,3,12,3,3,0.777585816,0.423877254,0.929644725,0.938725636,0.718385909
IDH3G,2.30E-05,0,0,0,0,0,0,0,1,0,0,0.768588974,0.423805535,0.930484037,0.938728235,0.718571124
TFDP1,2.32E-05,0,0,0,0,0,0,0,8,1,1,0.76694176,0.423795938,0.930642677,0.938730833,0.718586603
RANBP9,2.29E-05,0,0,0,0,0,0,1,7,5,3,0.769979085,0.423775704,0.930379331,0.938733432,0.718677342
SP5,2.33E-05,0,0,0,0,0,0,0,4,0,2,0.766768593,0.423661044,0.930655373,0.93873603,0.71887857
