Gene,mut.rate,dn.LoF,case.LoF,ctrl.LoF,trans.LoF,ntrans.LoF,dn.mis3,case.mis3,ctrl.mis3,trans.mis3,ntrans.mis3,BF.dn,BF,qvalue.dn,qvalue,pval.TADA
SCN2A,7.40E-05,4,2,0,0,0,5,4,26,5,5,615476690,1596280319,2.55E-08,9.81E-09,2.67E-07
SYNGAP1,6.55E-05,6,0,0,0,0,1,3,6,4,2,231597074.5,127675314.5,4.66E-08,6.63E-08,2.67E-07
CHD8,9.25E-05,3,4,0,0,0,2,7,29,4,2,63502.30066,484952.7916,8.62E-05,1.08E-05,2.67E-07
ARID1B,9.02E-05,4,0,0,0,0,1,5,35,5,8,290115.6739,162474.6284,1.80E-05,3.22E-05,2.67E-07
ANK2,0.00014923,3,3,4,2,0,2,24,89,21,17,29180.0818,83588.24342,0.000150571,6.32E-05,2.67E-07
SUV420H1,3.48E-05,3,0,0,0,0,2,1,5,0,1,146213.2326,80659.67393,4.03E-05,8.51E-05,2.67E-07
DYRK1A,3.12E-05,4,0,0,0,0,0,2,8,0,6,143048.399,79189.11379,5.41E-05,0.000101177,2.67E-07
GRIN2B,7.30E-05,3,3,1,0,0,0,3,10,0,5,3811.647471,11552.4315,0.001023654,0.000257817,2.67E-07
ADNP,3.92E-05,3,1,0,0,0,0,3,2,0,0,5701.346443,8895.586797,0.000682573,0.000424513,2.67E-07
TBR1,3.55E-05,2,0,0,0,1,2,2,5,1,3,6654.38576,4778.048918,0.00042535,0.000708878,2.67E-07
POGZ,5.66E-05,2,4,0,0,0,0,5,24,6,7,214.2488437,1636.170245,0.022804814,0.001506652,1.07E-06
CUL3,2.98E-05,2,2,0,0,0,0,3,4,1,0,293.4599874,758.9165551,0.008857585,0.003066592,3.20E-06
KATNAL2,2.00E-05,2,3,4,1,0,0,6,22,1,2,329.6114033,588.9444898,0.005055509,0.004823929,5.34E-06
BCL11A,5.27E-05,2,0,1,0,0,0,1,16,3,1,224.1662041,161.4192058,0.016486402,0.0107986,6.35E-05
CACNA2D3,4.37E-05,2,0,0,0,0,0,2,22,4,5,248.9937707,138.200329,0.01272972,0.016866662,7.95E-05
MIB1,3.96E-05,0,7,10,10,0,0,6,11,0,3,0.638454862,134.0518391,0.936729942,0.022352547,8.27E-05
GABRB3,2.17E-05,1,2,1,0,0,1,0,2,0,0,70.60240966,128.5664415,0.06810617,0.02742713,8.91E-05
CTTNBP2,6.14E-05,1,4,1,3,2,0,5,59,10,11,9.847465075,126.9287472,0.458998991,0.032007176,9.23E-05
MLL3,0.000173773,2,0,0,0,0,1,17,82,14,17,221.9719803,125.2657252,0.019782404,0.036173346,9.45E-05
PTEN,1.40E-05,1,1,0,0,0,1,1,4,0,0,78.17063065,122.0037238,0.053429918,0.040054598,9.66E-05
RELN,0.0001378,1,1,2,1,0,2,24,92,24,18,80.49535784,103.8088305,0.042261161,0.04439146,0.000120096
ASXL3,7.94E-05,2,0,2,0,0,0,6,29,9,5,164.9692049,89.63074907,0.026565158,0.049136617,0.00015479
MYO9B,0.000108,1,0,1,0,0,2,11,48,15,14,118.7399499,84.58959232,0.035910723,0.053794426,0.000169202
ETFB,1.65E-05,1,2,1,2,0,0,1,6,4,4,16.4681671,84.53896177,0.320515089,0.058067373,0.000169202
ASH1L,0.0001066,2,1,3,0,0,0,11,36,8,10,121.5984856,76.08818913,0.031430112,0.062574471,0.000198559
TRIO,0.0001425,1,0,1,2,2,2,16,56,14,30,75.78107447,73.40955402,0.058555497,0.066932351,0.000208167
NAA15,2.84E-05,1,1,1,0,0,1,2,6,1,0,64.74019704,72.83360069,0.072980641,0.071009817,0.000209768
MYT1L,5.53E-05,1,1,0,0,0,1,4,20,2,3,45.94022482,71.87637303,0.107931192,0.074865167,0.000215105
NR3C2,3.86E-05,1,1,1,0,0,1,2,4,2,5,56.79191182,63.87072975,0.090616719,0.079075759,0.000251935
APH1A,1.19E-05,1,0,0,0,1,1,0,1,0,3,80.2834268,57.76094651,0.04802393,0.083551969,0.000277555
SETD5,5.43E-05,1,1,1,0,0,1,13,29,17,12,46.52276955,53.6676796,0.103495757,0.088145719,0.000309581
VIL1,3.79E-05,0,2,4,6,4,2,5,31,5,3,15.68692033,52.78474997,0.353220832,0.09254344,0.00031652
CDC42BPB,8.33E-05,1,2,2,0,0,1,6,19,5,6,32.43926816,42.36763529,0.142575562,0.097919557,0.00046277
SPARCL1,2.20E-05,1,1,0,1,0,0,4,10,7,5,15.44310302,39.97217451,0.367084471,0.103321272,0.00050814
BIRC6,0.000157418,1,1,3,0,0,2,11,46,17,11,62.67522149,39.17329587,0.077684253,0.108531514,0.000528423
GALNTL4,3.22E-05,1,1,3,0,0,1,1,12,3,3,61.65713135,38.8471656,0.086285727,0.113499773,0.000537497
WDFY3,0.0001332,1,2,2,1,0,1,6,32,8,11,17.83495902,37.94545532,0.267045562,0.118330116,0.000553509
MTMR12,2.90E-05,1,1,0,1,0,0,2,9,0,2,14.24264485,36.91727216,0.409244989,0.123056596,0.000588738
EP400,0.000163178,1,1,1,8,9,1,8,48,33,19,12.60757488,36.83298409,0.433787689,0.127552957,0.000590873
ZNF774,1.92E-05,0,4,2,4,3,1,2,16,1,1,3.672106359,35.70827704,0.585335116,0.131987824,0.00062023
DPP3,3.99E-05,1,0,3,1,0,1,4,24,12,5,55.85515007,35.05721183,0.094759644,0.136301822,0.000639445
FCRL6,1.58E-05,1,4,3,1,2,0,3,10,1,0,16.60746979,34.61568471,0.311287837,0.140474966,0.000649053
SMURF1,3.65E-05,1,2,0,0,0,0,0,8,1,1,13.05991444,33.87102372,0.425424533,0.144562932,0.000668268
TTLL3,3.67E-05,0,3,1,2,4,2,1,25,7,4,15.94978081,33.38728256,0.342585619,0.148535962,0.000685348
UTP6,2.18E-05,1,2,2,1,0,0,3,4,2,4,15.47547524,32.84783239,0.36383888,0.15241133,0.000710969
CARKD,2.07E-05,1,0,1,5,4,0,5,13,3,4,15.68221407,32.63802029,0.354462622,0.156148696,0.000715773
DNAH10,0.000191867,0,9,14,11,3,1,36,112,29,32,0.484916669,32.55360592,0.939352511,0.159739105,0.000718441
PPM1D,2.32E-05,1,1,1,2,1,0,1,6,2,6,15.23623359,32.40514742,0.377042413,0.163200818,0.000721644
PHF15,4.06E-05,1,2,0,0,0,0,1,9,2,2,12.4610097,32.24612077,0.43696783,0.166543311,0.000727515
S100G,2.12E-06,1,1,0,0,0,0,0,0,0,0,19.5021238,30.10051387,0.191322283,0.17005869,0.000803309
KIAA0182,6.99E-05,0,0,4,1,0,3,17,66,20,19,61.81434916,29.73242189,0.082131246,0.173490631,0.000816653
CSNK1E,2.44E-05,0,0,0,1,0,2,1,3,1,0,18.93191075,29.52846282,0.205768865,0.176820523,0.000826261
KIAA0100,8.80E-05,1,3,6,4,0,0,7,41,14,13,7.334971391,29.14385234,0.474848884,0.180080896,0.000847611
CACNA1D,0.0001008,0,0,1,0,0,3,15,31,9,15,39.53287244,28.2738236,0.129164497,0.18334871,0.000895116
RAB2A,7.59E-06,1,0,0,1,0,0,0,0,0,0,18.28080431,28.21547075,0.238431069,0.186506314,0.000899386
PCOLCE,2.19E-05,1,1,1,1,0,0,1,11,4,2,15.45748161,28.09445667,0.366017997,0.189568777,0.000908994
MYOC,2.06E-05,1,2,5,4,2,0,4,10,5,6,15.69683399,27.95296603,0.351958279,0.192544157,0.000914865
SLCO1B1,2.26E-05,0,1,5,8,2,1,3,3,9,5,3.517325478,27.89866907,0.612049319,0.195424657,0.000917534
SLC6A1,3.00E-05,0,1,0,0,0,2,2,3,1,1,17.49987472,27.28967485,0.285319988,0.198293923,0.000959167
ATP1B1,1.27E-05,1,1,0,0,0,0,0,4,1,1,17.22401958,26.889837,0.290070228,0.201124658,0.000989592
SCARA3,2.70E-05,1,0,1,2,0,0,5,16,7,2,14.57593426,26.51604783,0.39695788,0.20391606,0.001018948
KRT34,2.11E-05,0,1,2,1,0,2,3,24,8,6,19.83392953,25.93779071,0.180962948,0.206700675,0.001063784
BRWD1,7.83E-05,1,2,0,1,1,0,12,28,13,3,8.160051213,25.21348423,0.469343322,0.209502793,0.001120363
KDM5B,6.13E-05,1,1,7,3,1,1,9,17,8,11,42.60584713,24.7818214,0.11668108,0.212281248,0.001154524
PRPF39,1.99E-05,1,0,0,1,0,0,0,1,1,0,15.82907965,24.69718694,0.346727003,0.214986706,0.001164131
SIX2,2.17E-05,1,1,0,0,0,0,1,3,5,5,15.49890089,24.16659931,0.362725034,0.217688515,0.001226048
KIRREL3,4.14E-05,0,1,0,0,0,2,3,24,2,7,14.94649772,23.72466719,0.385955488,0.220375532,0.001259674
FAM190A,2.35E-05,1,1,0,0,0,0,8,20,4,4,15.17616976,23.59698964,0.378896192,0.223002537,0.001271417
GGNBP2,2.54E-05,1,1,0,0,0,0,0,1,3,1,14.84348459,23.15970567,0.390862813,0.225618527,0.001319989
NRXN1,7.40E-05,1,1,2,0,1,1,6,38,6,7,36.3764778,23.14413323,0.133461192,0.228162086,0.001321591
WHSC1,2.56E-05,1,1,0,0,0,0,4,13,7,3,14.81597642,23.1127674,0.391651857,0.230638595,0.001325861
KLC1,2.56E-05,1,0,0,1,0,0,0,4,4,1,14.814259,23.10092932,0.392431034,0.233048025,0.001326394
RANBP17,3.83E-05,1,2,9,6,1,0,8,25,8,9,12.79322833,23.07243681,0.431047876,0.235395515,0.001326928
LEO1,2.59E-05,1,1,0,0,0,0,3,11,1,3,14.75941505,23.03750324,0.395464437,0.237684492,0.001328529
PTPRM,6.46E-05,0,2,2,1,0,2,9,36,8,5,10.89544318,23.02898271,0.451100539,0.239913618,0.001329063
KDM4B,6.44E-05,1,0,0,0,0,1,4,23,4,6,40.98601319,22.6639511,0.12100156,0.242134816,0.001364825
SETBP1,6.44E-05,1,0,0,0,0,1,6,18,8,6,40.98601319,22.54424024,0.125094647,0.244314949,0.001381906
SRPK2,2.80E-05,1,1,0,0,0,0,0,8,3,0,14.40657957,22.46603878,0.404686112,0.246449962,0.001389378
ZNF559,2.31E-06,0,10,7,1,0,0,2,20,12,6,0.973699206,22.42035165,0.747793861,0.248537162,0.001394716
CSDE1,3.05E-05,1,1,0,0,0,0,2,5,6,1,13.99648098,21.91733894,0.413595861,0.250640997,0.001454497
JUP,4.34E-05,1,1,1,1,0,0,6,23,5,4,12.06912125,21.89037548,0.439648853,0.25269658,0.001458767
QRICH1,3.07E-05,1,1,0,0,0,0,2,3,2,0,13.96905706,21.79988521,0.414204567,0.254714314,0.001467841
GSDMC,1.80E-05,1,4,5,0,0,0,3,15,3,3,16.178223,21.16302351,0.332181472,0.256770544,0.001533493
AGAP2,4.87E-05,0,1,0,0,0,2,5,11,1,1,13.52032581,21.05898736,0.420772713,0.258792162,0.001547905
PLA1A,1.88E-05,1,2,2,0,0,0,2,9,2,1,16.02784622,20.98693253,0.338265382,0.260776079,0.001558046
HDLBP,6.03E-05,0,0,1,2,0,2,2,13,8,4,11.54642671,20.97053458,0.443446364,0.262716082,0.001561249
TGM1,4.30E-05,1,1,5,0,0,1,5,26,9,9,53.687833,20.59099017,0.098857548,0.264662939,0.001605551
LRRC14,2.70E-05,0,1,1,0,0,2,1,10,2,3,18.25688485,20.58477654,0.241976968,0.266566391,0.001607152
KDM3A,4.89E-05,1,2,1,0,0,0,5,18,5,1,11.33762732,20.57548652,0.44727497,0.268428313,0.001607686
C11orf30,4.89E-05,1,1,1,1,0,0,4,9,5,12,11.33762732,20.57368007,0.446736995,0.270249099,0.00160822
TAF4,3.64E-05,1,0,0,1,0,0,1,13,0,0,13.0749058,20.52548312,0.424845077,0.272036194,0.001614091
TCTE3,7.87E-06,1,0,0,1,1,0,1,3,0,2,18.22052535,20.52513605,0.2454198,0.273784484,0.001614091
CERS4,1.95E-05,0,2,2,7,2,0,5,5,1,3,0.799902698,20.20117967,0.927204626,0.275537216,0.001651454
TCF3,3.69E-05,1,0,0,1,0,0,5,27,10,8,13.00013488,20.18573675,0.42713803,0.277254658,0.001653056
SLCO1B3,2.26E-05,1,0,2,2,0,0,4,20,5,4,15.33929055,20.06252409,0.373197825,0.278951805,0.001678676
CD163L1,5.85E-05,1,6,16,4,3,1,9,33,13,11,44.12826074,19.83646522,0.112333347,0.280642679,0.001712303
NCKAP1,3.98E-05,1,0,0,1,0,0,1,8,0,1,12.5754923,19.67281896,0.435389317,0.282319754,0.001734187
CSTF2T,2.51E-05,1,1,0,1,2,0,0,10,1,1,14.90039505,19.61107664,0.388449776,0.283970521,0.001744329
BRSK2,4.00E-05,1,0,0,1,0,0,4,16,3,6,12.54676529,19.57435611,0.435917519,0.285592614,0.001748065
MYH10,8.96E-05,1,0,3,1,0,1,6,18,4,3,30.03409939,18.84701241,0.147232171,0.287275951,0.00185375
STXBP5,4.31E-05,1,1,0,0,0,0,4,15,5,5,12.11046403,18.84253384,0.439111493,0.288926537,0.001854283
SHANK3,5.78E-05,1,1,0,1,1,0,5,19,3,3,10.25361207,18.62811363,0.456712314,0.290572587,0.001884708
AXL,4.48E-05,1,1,0,0,0,0,4,16,6,6,11.87819807,18.47479836,0.44178723,0.292206592,0.001916733
IQGAP2,5.72E-05,1,4,7,2,0,0,10,36,7,3,10.32304823,18.3196607,0.455024542,0.293829314,0.001948759
UBN2,4.68E-05,1,0,0,1,0,0,6,19,10,9,11.61109972,18.07675578,0.442341838,0.29545273,0.001982386
KDM6B,8.27E-05,1,0,0,0,0,1,9,28,10,12,32.67891478,17.9059694,0.138109841,0.297067798,0.002004804
CAPN12,3.31E-05,0,2,4,5,1,1,15,40,6,10,3.0806365,17.39543167,0.657802607,0.298720022,0.002102482
SPP2,9.02E-06,1,1,3,1,0,0,1,7,1,0,17.97520059,17.36437717,0.261234448,0.300345774,0.002106752
BTRC,2.23E-05,1,0,1,1,0,0,2,7,3,5,15.38573339,17.29851887,0.371213823,0.30195039,0.002116894
HAPLN3,2.33E-05,1,0,0,1,1,0,3,20,11,4,15.20263684,17.08195354,0.377974368,0.303554401,0.002155858
FAM59A,3.95E-05,1,0,1,2,1,0,2,17,5,2,12.61871642,16.51377415,0.433245756,0.305205606,0.002261009
RASAL1,3.97E-05,1,1,1,1,1,0,3,16,6,8,12.5898825,16.46652563,0.434858931,0.306833717,0.002269015
KYNU,1.64E-05,0,7,5,3,1,0,2,13,4,4,0.828830537,16.29475696,0.922529161,0.3084562,0.002305311
RAPGEF4,4.10E-05,1,1,1,1,1,0,5,29,7,1,12.40419195,16.20166578,0.437494541,0.310062778,0.002323459
VPS54,3.14E-05,0,2,1,2,0,1,7,10,2,2,3.145916895,16.17262694,0.651332787,0.311645314,0.002330398
ERBB2IP,4.35E-05,1,2,1,0,1,0,3,27,4,10,12.0553743,16.10308302,0.440182832,0.313209851,0.002343742
ACACB,0.0001295,1,3,5,2,3,1,17,69,31,25,18.62681989,16.09314278,0.214715342,0.314748963,0.002344809
ADCY5,6.98E-05,0,0,0,1,0,2,2,18,1,4,10.16043639,16.02531855,0.457275793,0.316270934,0.002356018
MCAM,3.23E-05,0,2,1,2,0,1,1,14,7,8,3.111723952,15.97067379,0.654469097,0.317774501,0.002367227
USP15,3.02E-05,1,1,1,0,0,0,0,7,1,2,14.04015654,15.848386,0.412983259,0.319269022,0.00239178
NIF3L1,1.39E-05,0,2,1,5,1,0,4,19,3,1,0.852267593,15.73853924,0.917371118,0.320753209,0.002416867
PM20D1,2.13E-05,0,0,0,3,0,1,2,13,3,3,3.574922713,15.72199637,0.602924171,0.322215221,0.002417934
SORCS3,4.42E-05,1,0,2,2,0,0,4,19,5,2,11.95961893,15.63149664,0.441251442,0.323665194,0.002435015
MSH4,3.16E-05,1,3,4,0,0,0,0,8,3,2,13.82324439,15.52977751,0.416031389,0.325104942,0.002454764
RGS2,7.55E-06,1,0,2,1,0,0,2,3,1,1,18.28943322,15.2098724,0.234774245,0.326563279,0.002518815
PLEKHA8,1.66E-05,0,0,1,0,0,2,3,12,5,1,21.14412171,15.16750046,0.164208115,0.328004002,0.002527889
SCN1A,7.50E-05,0,1,0,0,0,2,11,16,9,5,9.478441641,15.092618,0.461355076,0.329431776,0.002539632
DENND5A,5.09E-05,1,1,1,1,1,0,3,13,7,4,11.08364916,14.49900112,0.448918822,0.330915545,0.002697625
ERI1,1.10E-05,0,1,2,3,0,1,4,9,1,1,4.076245053,14.38625369,0.51621314,0.332391414,0.00272111
ATP10D,5.14E-05,1,4,5,0,0,0,8,30,14,11,11.02112132,14.37533073,0.450008481,0.333846036,0.002726448
KRT24,2.23E-05,0,3,1,4,1,0,8,8,2,5,0.775216399,14.34193835,0.929900857,0.335282879,0.00273392
PHF7,1.34E-05,1,1,2,0,0,0,4,4,0,2,17.07309761,14.19428959,0.29683709,0.336717507,0.00276221
TMBIM6,1.16E-05,0,4,1,2,0,0,0,9,2,2,0.87522669,13.88717773,0.909478443,0.338171555,0.002838004
PLA2G7,1.41E-05,0,3,1,1,1,1,8,18,6,6,3.921012425,13.83061355,0.540788224,0.339611487,0.00285455
FBXL13,2.56E-05,0,2,1,5,1,0,8,14,4,4,0.74688258,13.80421371,0.932162941,0.341033611,0.002859888
NRG4,4.55E-06,1,0,1,0,0,0,0,2,2,2,18.94935536,13.60854439,0.201107666,0.342460947,0.002916467
FBN1,0.0001229,0,2,0,0,0,2,7,47,12,13,5.079848795,13.22189148,0.486433744,0.343919727,0.003033894
DBX2,7.88E-06,1,0,1,0,0,0,3,5,2,2,18.21837652,13.07763657,0.24875715,0.345377088,0.003086736
PRDM9,3.31E-05,0,3,3,2,0,1,3,10,8,1,3.081409582,12.81058081,0.657528956,0.346850252,0.003184414
STMN4,1.02E-05,1,0,0,0,1,0,2,2,1,3,17.73136469,12.72988374,0.275227028,0.348313537,0.003217507
ECM2,2.45E-05,1,3,5,0,0,0,4,19,3,5,15.00273394,12.67217889,0.383380885,0.349764034,0.003239392
TBC1D23,2.44E-05,1,0,2,1,0,0,1,17,2,4,15.01666892,12.61317388,0.381611043,0.351202225,0.003259141
IL27,1.12E-05,1,0,1,0,0,0,1,0,0,0,17.53021851,12.59471378,0.280399999,0.352622831,0.003267681
C20orf111,1.12E-05,1,0,1,0,0,0,2,3,0,0,17.5116812,12.57625195,0.28289085,0.354026223,0.003275687
ZNF594,2.56E-05,1,1,4,2,1,0,4,14,8,8,14.80910801,12.45819814,0.393200898,0.355426316,0.003327996
KBTBD4,2.21E-05,0,0,3,1,0,2,1,8,4,1,19.5566387,12.29414587,0.186239314,0.356829616,0.003416066
INSC,2.84E-05,1,1,5,2,0,0,12,24,6,3,14.34009858,12.1298371,0.406665332,0.358236353,0.003502002
CCIN,2.71E-05,1,1,2,0,0,0,5,20,8,3,14.55064682,12.07769866,0.399152601,0.359631237,0.003529757
FAM45A,1.26E-05,0,1,1,2,0,1,2,4,2,1,3.992950553,12.05951551,0.532299411,0.361009884,0.003538297
GSTO2,9.33E-06,0,7,5,3,2,0,1,0,3,0,0.898242864,12.00652249,0.89519291,0.362377362,0.003567654
OVOL1,1.62E-05,1,0,0,0,1,0,0,6,1,0,16.52992249,11.88679553,0.316928102,0.363743019,0.003611956
ERN2,4.99E-05,0,5,6,3,1,1,4,32,6,10,2.499624751,11.88495256,0.695327328,0.365090957,0.00361249
RNF38,1.63E-05,1,0,1,0,0,0,1,7,4,0,16.49708376,11.84204672,0.318738344,0.366427072,0.00362957
CYP4F12,2.59E-05,0,3,2,3,3,1,0,17,0,7,3.3725563,11.82044986,0.629164709,0.36774874,0.003637577
MTHFS,6.39E-06,1,0,3,1,0,0,1,11,0,2,18.5416017,11.74276121,0.218983124,0.369063777,0.003681345
SCN7A,4.40E-05,1,2,5,2,1,0,7,20,2,4,11.98689331,11.72068102,0.440718216,0.370364909,0.003691487
SLC25A39,1.77E-05,1,0,1,0,0,0,2,8,2,8,16.23121541,11.67929167,0.32898866,0.37165498,0.003718708
C9orf68,1.32E-05,0,2,0,3,0,0,4,4,4,7,0.859389522,11.6610789,0.915365734,0.372931138,0.003729917
TROVE2,1.86E-05,1,0,1,0,0,0,5,7,5,2,16.07467565,11.60347118,0.336779318,0.37419886,0.00376728
MBNL1,1.65E-05,0,0,2,0,0,2,1,5,1,1,21.15310275,11.54779342,0.15839941,0.375458082,0.003796104
COBL,5.86E-05,0,3,1,1,0,1,9,39,12,15,2.246282936,11.48622748,0.703264237,0.376709769,0.003828129
SMARCA4,9.51E-05,0,1,0,0,0,2,6,8,5,3,7.270112235,11.39800745,0.475554606,0.377957612,0.003878303
LRRTM2,1.99E-05,1,0,1,0,0,0,2,5,0,3,15.8253899,11.37465895,0.3480611,0.37919321,0.003886843
FAM8A1,2.05E-05,1,0,1,0,0,0,1,4,0,1,15.71696049,11.29793877,0.350675142,0.380423792,0.003928476
SNTG1,1.94E-05,0,0,0,0,0,2,4,16,3,1,20.3236805,11.17872278,0.169976068,0.381655094,0.003999466
DGKD,6.07E-05,1,1,1,0,0,0,5,24,8,9,9.925053766,11.13396154,0.458420484,0.382877434,0.004018148
SPON2,1.99E-05,0,0,0,0,0,2,1,5,0,0,20.18365781,11.13028635,0.175539111,0.384085614,0.004018682
GABRB1,2.22E-05,1,0,1,0,0,0,0,9,2,3,15.39826325,11.09297328,0.36917967,0.385284264,0.004037363
C10orf93,1.60E-05,0,8,6,2,1,0,5,13,6,9,0.832419278,11.06848122,0.921862046,0.386471902,0.004056045
ST3GAL6,1.20E-05,1,1,2,0,1,0,0,3,0,4,17.36210553,10.96391477,0.287712569,0.387659104,0.004102482
SPAST,2.35E-05,1,0,1,0,0,0,2,4,0,1,15.17616976,10.89964627,0.379805033,0.388840742,0.00414198
VNN1,1.93E-05,0,3,0,2,0,0,4,13,7,5,0.802172404,10.87321909,0.926924027,0.390012054,0.004163864
PLVAP,2.39E-05,1,0,1,0,0,0,3,12,2,4,15.10758868,10.85214781,0.380709078,0.391172537,0.004176675
CECR2,6.41E-05,1,1,0,0,1,0,3,27,10,7,9.554284973,10.72208432,0.460760608,0.392336415,0.004265813
TTC18,3.48E-05,0,3,1,3,0,0,4,5,2,0,0.6735171,10.67635363,0.935702811,0.393492881,0.004291967
ANKK1,3.06E-05,0,4,10,6,1,1,6,19,3,2,3.179716336,10.65923868,0.647213597,0.394638402,0.004303176
UNC45B,4.16E-05,0,0,1,0,0,2,12,39,15,14,14.90533853,10.64908191,0.387628024,0.395772277,0.004310115
FLYWCH1,3.48E-05,0,4,1,2,0,0,6,32,11,8,0.6735171,10.6062589,0.935693972,0.396898863,0.004334134
PTMS,3.22E-06,1,0,0,0,0,0,0,0,0,0,19.25013868,10.49490876,0.196271577,0.39802704,0.004425941
ZC3H14,2.76E-05,1,0,0,0,1,0,1,17,3,3,14.47674404,10.45318507,0.402654999,0.399147997,0.004453696
NTNG1,2.52E-05,0,0,0,0,0,2,2,7,3,2,18.71271238,10.29972273,0.210313059,0.400276152,0.004575927
FAM91A1,2.99E-05,1,2,4,0,0,0,3,13,4,2,14.09048465,10.23346571,0.411747513,0.40140039,0.0046245
NR2F1,2.59E-05,0,0,0,0,0,2,0,2,0,0,18.53256493,10.22130379,0.223105828,0.402513894,0.00463731
ASB4,1.84E-05,1,0,1,1,2,0,0,5,1,4,16.10660432,10.16514906,0.335271687,0.403622445,0.004681078
ZFAND5,6.91E-06,1,0,0,0,0,0,1,1,0,0,18.42809775,10.15605715,0.22711257,0.404720166,0.004689618
RPL12,7.15E-06,1,0,0,0,0,0,1,0,0,0,18.37596548,10.1280759,0.230997482,0.405809622,0.004710969
FOXP1,3.02E-05,1,0,0,0,1,0,2,7,2,2,14.04988225,10.08308851,0.412368244,0.4068931,0.004751001
SERPINB9,1.72E-05,0,4,2,3,1,0,1,10,2,2,0.821610094,10.05258696,0.923943393,0.407968889,0.00478356
PPPDE1,8.07E-06,1,0,0,0,0,0,0,1,0,0,18.17760084,10.02326096,0.252001808,0.409036974,0.004811316
GIMAP2,1.08E-05,0,7,6,2,0,0,3,8,2,1,0.883163115,10.01843499,0.905376549,0.410094419,0.004815052
DUS1L,2.77E-05,0,1,1,2,0,1,1,7,1,1,3.298850964,9.973694796,0.636570683,0.411146364,0.004855084
FOXG1,2.77E-05,0,0,0,0,0,2,1,0,0,0,18.07892205,9.964357785,0.258227755,0.41218851,0.004869496
ARHGAP44,3.15E-05,1,0,1,0,0,0,1,12,3,2,13.83280748,9.941538356,0.415428124,0.413222679,0.004894582
AGGF1,2.79E-05,0,1,1,2,0,1,3,13,4,9,3.288049848,9.93528922,0.638513325,0.414246956,0.004900987
PLA2G16,8.14E-06,1,0,2,0,0,0,0,5,1,0,18.16260317,9.922276381,0.255152674,0.415262323,0.004917
EFR3A,2.98E-05,0,2,5,0,0,2,2,19,1,1,17.54878707,9.912595137,0.277846241,0.416268512,0.004925007
SYT1,1.66E-05,0,2,0,0,0,1,1,1,0,0,3.794353059,9.814675728,0.560748399,0.417276433,0.00502055
OR51A2,1.00E-05,1,0,0,0,0,0,2,0,0,0,17.76687399,9.794080949,0.269844808,0.418276684,0.005038698
SCAND3,4.28E-05,0,4,1,2,0,0,7,19,2,5,0.616184611,9.736625514,0.937267263,0.419273877,0.005111823
LYPD4,1.01E-05,1,0,1,0,1,0,2,8,1,2,17.74597685,9.689042062,0.272571378,0.420266884,0.005161996
ZNF451,2.69E-06,0,1,2,2,0,1,1,10,2,6,4.539191796,9.682052586,0.487365741,0.421250858,0.0051668
CYP2J2,2.05E-05,0,3,2,4,1,0,2,12,8,2,0.790714404,9.66503824,0.928269656,0.422227145,0.005189752
TRIP12,7.38E-05,1,1,1,0,0,0,7,25,9,6,8.576437736,9.61697979,0.46803656,0.423199604,0.005238858
TMC2,3.52E-05,0,6,2,2,2,0,10,32,7,18,0.670516757,9.601406787,0.935798612,0.424164402,0.005255938
PYHIN1,1.79E-05,1,0,10,1,2,1,3,8,1,1,74.22932045,9.44851711,0.063377163,0.425138198,0.005426208
MUC17,0.000164455,0,13,16,10,6,0,23,73,27,27,0.172083469,9.430461773,0.940591598,0.426104718,0.005453963
ILF2,1.43E-05,1,0,0,0,0,0,0,1,0,0,16.88992061,9.313224739,0.303254872,0.427076054,0.005587403
SKI,3.71E-05,1,0,1,0,0,0,4,5,3,5,12.97035626,9.310175206,0.427703781,0.428038417,0.005589005
DHX57,5.20E-05,1,1,1,2,4,0,14,46,5,15,10.9465914,9.306068736,0.450554428,0.428992065,0.005593808
POTEH,1.39E-05,1,0,0,0,0,0,0,0,0,0,16.96929979,9.251427014,0.299018112,0.429943182,0.005666934
C12orf24,1.06E-05,0,3,0,3,2,0,0,3,2,0,0.885285943,9.244742269,0.903952493,0.430886082,0.00567494
ETV2,1.53E-05,1,0,0,0,0,0,2,10,0,1,16.70495868,9.225518342,0.307339481,0.431822379,0.005697892
CNGB3,2.89E-05,1,2,6,1,0,0,4,19,9,2,14.24922916,9.202384924,0.408608541,0.432752633,0.005729917
NFKBIL1,1.55E-05,1,0,0,0,0,0,0,8,1,0,16.6619874,9.201117311,0.309331242,0.433674342,0.005730985
CDC42BPA,5.99E-05,0,5,2,0,1,1,10,31,14,19,2.210872143,9.08408367,0.704272756,0.434601333,0.005872431
NPBWR1,2.81E-05,1,0,2,1,1,0,1,12,2,3,14.38660029,9.082399583,0.406009428,0.435519941,0.005873499
TSPAN17,1.61E-05,1,0,2,0,0,0,1,3,0,2,16.54733636,9.039852011,0.315083908,0.436435105,0.005923139
PRPF40A,2.93E-05,1,1,3,0,0,0,3,1,4,1,14.18189589,8.979225657,0.411123945,0.437349029,0.006006939
PBX1,1.77E-05,1,0,0,0,0,0,0,1,0,0,16.24449287,8.957331207,0.32735066,0.438257187,0.006029891
SMARCE1,1.79E-05,1,0,0,0,0,0,0,1,0,0,16.19712731,8.931213492,0.330599427,0.43916016,0.006070456
